Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,106.41468699463024,17.14151362421807,4.796462692864976,1.100000000000001e-2,4.1760189418339256e-4,"cx0_1: 9.276e-3",Wed Jul 08 2020 00:40:10 GMT-0700 (Pacific Daylight Time)
Q1,95.68686262155944,111.42172460237252,4.9401582390562435,1.200000000000001e-2,5.215842713967292e-4,"cx1_0: 9.276e-3, cx1_2: 6.317e-3, cx1_3: 1.094e-2",Wed Jul 08 2020 00:40:10 GMT-0700 (Pacific Daylight Time)
Q2,84.9437439387172,141.43954844693835,4.833516539351016,9.000000000000008e-3,4.140929332013418e-4,"cx2_1: 6.317e-3",Wed Jul 08 2020 00:40:10 GMT-0700 (Pacific Daylight Time)
Q3,101.61024423012194,120.90398756232938,4.8079687082621305,1.8000000000000016e-2,6.031677716983113e-4,"cx3_1: 1.094e-2, cx3_4: 7.263e-3",Wed Jul 08 2020 00:40:10 GMT-0700 (Pacific Daylight Time)
Q4,100.45722519020477,51.66005394725442,4.749674504534007,1.5000000000000013e-2,7.49696634843309e-4,"cx4_3: 7.263e-3",Wed Jul 08 2020 00:40:10 GMT-0700 (Pacific Daylight Time)
