Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,105.99750708581367,145.7932788182101,4.499399208008102,1.5000000000000013e-2,3.6941245298113096e-4,"cx0_1: 7.955e-3",Tue Jul 07 2020 23:48:52 GMT-0700 (Pacific Daylight Time)
Q1,154.81494188310037,119.64578556190402,4.694639902208506,2.6666666666666616e-2,3.5634852692475956e-4,"cx1_0: 7.955e-3, cx1_2: 1.370e-2, cx1_3: 9.994e-3",Tue Jul 07 2020 23:48:52 GMT-0700 (Pacific Daylight Time)
Q2,102.52757653408096,77.65456417575375,4.663329558108905,2.833333333333332e-2,4.941418453551722e-4,"cx2_1: 1.370e-2",Tue Jul 07 2020 23:48:52 GMT-0700 (Pacific Daylight Time)
Q3,127.18553111304983,137.59486907032814,4.653763765191424,3.6666666666666625e-2,5.434168601885894e-4,"cx3_1: 9.994e-3, cx3_4: 9.083e-3",Tue Jul 07 2020 23:48:52 GMT-0700 (Pacific Daylight Time)
Q4,83.32397219949125,117.65376615054001,4.610934236294879,4.3333333333333335e-2,4.857108798747124e-4,"cx4_3: 9.083e-3",Tue Jul 07 2020 23:48:52 GMT-0700 (Pacific Daylight Time)
