Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,101.25901768767605,38.01616808767574,4.641399389347555,2.4499999999999966e-2,3.1287887870301703e-4,"cx0_1: 9.140e-3",Thu Jun 11 2020 00:36:43 GMT-0700 (Pacific Daylight Time)
Q1,79.09865321692423,93.19832447669017,4.720037778908538,4.849999999999999e-2,5.923497821974063e-4,"cx1_0: 9.140e-3, cx1_2: 2.496e-2, cx1_3: 2.261e-2",Thu Jun 11 2020 00:36:43 GMT-0700 (Pacific Daylight Time)
Q2,82.62697735235098,121.24882324264678,4.762047794994676,2.7000000000000024e-2,1.4701621591887836e-3,"cx2_1: 2.496e-2",Thu Jun 11 2020 00:36:43 GMT-0700 (Pacific Daylight Time)
Q3,100.78136840174523,104.03648276957061,4.686969914379257,3.200000000000003e-2,5.738102719058851e-4,"cx3_1: 2.261e-2, cx3_4: 9.587e-3",Thu Jun 11 2020 00:36:43 GMT-0700 (Pacific Daylight Time)
Q4,74.13632768648891,41.49173205416061,4.924112921416509,4.300000000000004e-2,5.58545868397111e-4,"cx4_3: 9.587e-3",Thu Jun 11 2020 00:36:43 GMT-0700 (Pacific Daylight Time)
