Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,41.32329092863873,36.868929560332056,5.253939084469221,2.5000000000000022e-2,5.261995560961184e-4,"cx0_1: 1.317e-2",Wed Jul 08 2020 00:22:12 GMT-0700 (Pacific Daylight Time)
Q1,54.398416798682945,28.867195864863266,5.048695328560196,5.0000000000000044e-2,6.545542033520014e-4,"cx1_0: 1.317e-2, cx1_2: 1.620e-2, cx1_3: 1.566e-2",Wed Jul 08 2020 00:22:12 GMT-0700 (Pacific Daylight Time)
Q2,60.18806116569953,64.22014052153757,5.230567632664846,4.0000000000000036e-2,3.752890213037676e-4,"cx2_1: 1.620e-2",Wed Jul 08 2020 00:22:12 GMT-0700 (Pacific Daylight Time)
Q3,88.01453251344597,105.40919944579669,5.200938529562419,3.166666666666673e-2,5.404156950345331e-4,"cx3_1: 1.566e-2, cx3_4: 1.418e-2",Wed Jul 08 2020 00:22:12 GMT-0700 (Pacific Daylight Time)
Q4,65.71229679698065,27.63284721093456,5.065771577126933,2.3333333333333428e-2,4.47304253612275e-4,"cx4_3: 1.418e-2",Wed Jul 08 2020 00:22:12 GMT-0700 (Pacific Daylight Time)
