Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,59.23486582843951,81.62634482210179,5.286415598639593,2.100000000000002e-2,8.909700412260874e-4,"cx0_1: 1.673e-2, cx0_2: 1.778e-2",Wed Jul 08 2020 02:02:09 GMT-0700 (Pacific Daylight Time)
Q1,64.26912750538413,79.47447886459565,5.238267063764127,3.4499999999999975e-2,5.190855787872765e-4,"cx1_0: 1.673e-2, cx1_2: 1.684e-2",Wed Jul 08 2020 02:02:09 GMT-0700 (Pacific Daylight Time)
Q2,54.65919728610769,71.09615702388069,5.030508360568265,1.849999999999996e-2,7.971795854543852e-4,"cx2_0: 1.778e-2, cx2_1: 1.684e-2, cx2_3: 1.374e-2, cx2_4: 1.889e-2",Wed Jul 08 2020 02:02:09 GMT-0700 (Pacific Daylight Time)
Q3,52.45816339906153,39.82675071188919,5.295638383671428,2.1500000000000075e-2,5.804275138990492e-4,"cx3_2: 1.374e-2, cx3_4: 1.296e-2",Wed Jul 08 2020 02:02:09 GMT-0700 (Pacific Daylight Time)
Q4,56.869455679183616,72.99952619324863,5.084387510302606,1.7000000000000015e-2,4.5865423460550675e-4,"cx4_2: 1.889e-2, cx4_3: 1.296e-2",Wed Jul 08 2020 02:02:09 GMT-0700 (Pacific Daylight Time)
